LOKALNYID,ULICA_LOKALNYID,ULICA_NAZWA,NUMER_ADR,KOD_POCZTOWY,ETYKIETA_NAZWA_SKROCONA
pa_15230,ul_1113,ul. Szronowa,9,53-023,Szronowa 9
pa_7932,ul_1114,ul. Sztabowa,10,53-327,Sztabowa 10
pa_13271,ul_1114,ul. Sztabowa,100,53-310,Sztabowa 100
pa_1312,ul_1114,ul. Sztabowa,100a,53-310,Sztabowa 100a
pa_56218,ul_1114,ul. Sztabowa,101,53-310,Sztabowa 101
pa_35464,ul_1114,ul. Sztabowa,103,53-310,Sztabowa 103
pa_8601,ul_1114,ul. Sztabowa,107,53-310,Sztabowa 107
pa_29661,ul_1114,ul. Sztabowa,12,53-327,Sztabowa 12
pa_28072,ul_1114,ul. Sztabowa,14,53-327,Sztabowa 14
pa_43184,ul_1114,ul. Sztabowa,16,53-327,Sztabowa 16
pa_36418,ul_1114,ul. Sztabowa,18,53-327,Sztabowa 18
pa_19251,ul_1114,ul. Sztabowa,2,53-327,Sztabowa 2
pa_59297,ul_1114,ul. Sztabowa,20,53-327,Sztabowa 20
pa_34112,ul_1114,ul. Sztabowa,21,53-327,Sztabowa 21
pa_43092,ul_1114,ul. Sztabowa,23,53-327,Sztabowa 23
pa_33735,ul_1114,ul. Sztabowa,25,53-327,Sztabowa 25
pa_21580,ul_1114,ul. Sztabowa,27,53-327,Sztabowa 27
pa_17111,ul_1114,ul. Sztabowa,28,53-321,Sztabowa 28
pa_48001,ul_1114,ul. Sztabowa,29,53-327,Sztabowa 29
pa_50375,ul_1114,ul. Sztabowa,30,53-321,Sztabowa 30
pa_7893,ul_1114,ul. Sztabowa,31-33,53-327,Sztabowa 31-33
pa_40801,ul_1114,ul. Sztabowa,32-60,53-321,Sztabowa 32-60
pa_36077,ul_1114,ul. Sztabowa,35,53-327,Sztabowa 35
pa_23274,ul_1114,ul. Sztabowa,37,53-327,Sztabowa 37
pa_59533,ul_1114,ul. Sztabowa,4,53-327,Sztabowa 4
pa_25382,ul_1114,ul. Sztabowa,51,53-321,Sztabowa 51
pa_55569,ul_1114,ul. Sztabowa,53,53-321,Sztabowa 53
pa_47987,ul_1114,ul. Sztabowa,55,53-321,Sztabowa 55
pa_24444,ul_1114,ul. Sztabowa,57,53-321,Sztabowa 57
pa_11584,ul_1114,ul. Sztabowa,59,53-321,Sztabowa 59
pa_36615,ul_1114,ul. Sztabowa,6,53-327,Sztabowa 6
pa_26472,ul_1114,ul. Sztabowa,61,53-321,Sztabowa 61
pa_27216,ul_1114,ul. Sztabowa,71,53-321,Sztabowa 71
pa_19617,ul_1114,ul. Sztabowa,72,53-313,Sztabowa 72
pa_32269,ul_1114,ul. Sztabowa,73,53-321,Sztabowa 73
pa_8014,ul_1114,ul. Sztabowa,75,53-321,Sztabowa 75
pa_55499,ul_1114,ul. Sztabowa,76,53-310,Sztabowa 76
pa_22027,ul_1114,ul. Sztabowa,76a,53-310,Sztabowa 76a
pa_26944,ul_1114,ul. Sztabowa,76b,53-310,Sztabowa 76b
pa_28100,ul_1114,ul. Sztabowa,77,53-321,Sztabowa 77
pa_11219,ul_1114,ul. Sztabowa,78,53-310,Sztabowa 78
pa_33654,ul_1114,ul. Sztabowa,78a,53-310,Sztabowa 78a
pa_26883,ul_1114,ul. Sztabowa,79,53-321,Sztabowa 79
pa_43419,ul_1114,ul. Sztabowa,8,53-327,Sztabowa 8
pa_33685,ul_1114,ul. Sztabowa,80,53-310,Sztabowa 80
pa_50711,ul_1114,ul. Sztabowa,80a,53-310,Sztabowa 80a
pa_7166,ul_1114,ul. Sztabowa,81-83,53-313,Sztabowa 81-83
pa_39627,ul_1114,ul. Sztabowa,82,53-310,Sztabowa 82
pa_53243,ul_1114,ul. Sztabowa,85,53-313,Sztabowa 85
pa_8029,ul_1114,ul. Sztabowa,86,53-310,Sztabowa 86
pa_42370,ul_1114,ul. Sztabowa,87,53-313,Sztabowa 87
pa_52938,ul_1114,ul. Sztabowa,88,53-310,Sztabowa 88
pa_47202,ul_1114,ul. Sztabowa,89,53-313,Sztabowa 89
pa_37607,ul_1114,ul. Sztabowa,90,53-310,Sztabowa 90
pa_10168,ul_1114,ul. Sztabowa,90a,53-310,Sztabowa 90a
pa_48342,ul_1114,ul. Sztabowa,92,53-310,Sztabowa 92
pa_47904,ul_1114,ul. Sztabowa,93,53-310,Sztabowa 93
pa_55260,ul_1114,ul. Sztabowa,94,53-310,Sztabowa 94
pa_20922,ul_1114,ul. Sztabowa,95,53-310,Sztabowa 95
pa_33585,ul_1114,ul. Sztabowa,96,53-310,Sztabowa 96
pa_11277,ul_1114,ul. Sztabowa,97,53-310,Sztabowa 97
pa_34898,ul_1114,ul. Sztabowa,98,53-310,Sztabowa 98
pa_17389,ul_1114,ul. Sztabowa,99,53-310,Sztabowa 99
pa_45133,ul_2033,ul. Szwajcarska,11,54-405,Szwajcarska 11
pa_38494,ul_2033,ul. Szwajcarska,11a,54-405,Szwajcarska 11a
pa_32379,ul_2033,ul. Szwajcarska,13,54-405,Szwajcarska 13
pa_41957,ul_2033,ul. Szwajcarska,15,54-405,Szwajcarska 15
pa_32697,ul_2033,ul. Szwajcarska,22,54-405,Szwajcarska 22
pa_7626,ul_2033,ul. Szwajcarska,5,54-405,Szwajcarska 5
pa_27148,ul_2033,ul. Szwajcarska,7,54-405,Szwajcarska 7
pa_8837,ul_2033,ul. Szwajcarska,9,54-405,Szwajcarska 9
pa_16879,ul_1115,ul. Szwedzka,1,54-401,Szwedzka 1
pa_25863,ul_1115,ul. Szwedzka,10,54-401,Szwedzka 10
pa_45763,ul_1115,ul. Szwedzka,11,54-401,Szwedzka 11
pa_41223,ul_1115,ul. Szwedzka,11a,54-401,Szwedzka 11a
pa_40361,ul_1115,ul. Szwedzka,11b,54-401,Szwedzka 11b
pa_30869,ul_1115,ul. Szwedzka,12,54-401,Szwedzka 12
pa_56089,ul_1115,ul. Szwedzka,13,54-401,Szwedzka 13
pa_38156,ul_1115,ul. Szwedzka,13a,54-401,Szwedzka 13a
pa_32699,ul_1115,ul. Szwedzka,13b,54-401,Szwedzka 13b
pa_51945,ul_1115,ul. Szwedzka,14,54-401,Szwedzka 14
pa_18139,ul_1115,ul. Szwedzka,15,54-401,Szwedzka 15
pa_43872,ul_1115,ul. Szwedzka,15a,54-401,Szwedzka 15a
pa_39947,ul_1115,ul. Szwedzka,15b,54-401,Szwedzka 15b
pa_17094,ul_1115,ul. Szwedzka,15c,54-401,Szwedzka 15c
pa_35617,ul_1115,ul. Szwedzka,15d,54-401,Szwedzka 15d
pa_47239,ul_1115,ul. Szwedzka,16,54-401,Szwedzka 16
pa_19405,ul_1115,ul. Szwedzka,17,54-401,Szwedzka 17
pa_55484,ul_1115,ul. Szwedzka,17a,54-401,Szwedzka 17a
pa_22645,ul_1115,ul. Szwedzka,17b,54-401,Szwedzka 17b
pa_22853,ul_1115,ul. Szwedzka,17c,54-401,Szwedzka 17c
pa_22225,ul_1115,ul. Szwedzka,17d,54-401,Szwedzka 17d
pa_24248,ul_1115,ul. Szwedzka,18,54-401,Szwedzka 18
pa_30285,ul_1115,ul. Szwedzka,19,54-401,Szwedzka 19
pa_58964,ul_1115,ul. Szwedzka,19a,54-401,Szwedzka 19a
pa_43907,ul_1115,ul. Szwedzka,19b,54-401,Szwedzka 19b
pa_39951,ul_1115,ul. Szwedzka,19c,54-401,Szwedzka 19c
pa_44714,ul_1115,ul. Szwedzka,19d,54-401,Szwedzka 19d
pa_42498,ul_1115,ul. Szwedzka,1a,54-401,Szwedzka 1a
pa_29157,ul_1115,ul. Szwedzka,1b,54-401,Szwedzka 1b
pa_26898,ul_1115,ul. Szwedzka,1c,54-401,Szwedzka 1c
pa_36232,ul_1115,ul. Szwedzka,1d,54-401,Szwedzka 1d
pa_30228,ul_1115,ul. Szwedzka,20,54-401,Szwedzka 20
pa_25294,ul_1115,ul. Szwedzka,22,54-401,Szwedzka 22
pa_41122,ul_1115,ul. Szwedzka,24,54-401,Szwedzka 24
pa_15461,ul_1115,ul. Szwedzka,26,54-401,Szwedzka 26
pa_32437,ul_1115,ul. Szwedzka,27,54-401,Szwedzka 27
pa_50631,ul_1115,ul. Szwedzka,28,54-401,Szwedzka 28
pa_15706,ul_1115,ul. Szwedzka,29,54-401,Szwedzka 29
pa_47416,ul_1115,ul. Szwedzka,3,54-401,Szwedzka 3
pa_57697,ul_1115,ul. Szwedzka,30,54-401,Szwedzka 30
pa_43208,ul_1115,ul. Szwedzka,31,54-401,Szwedzka 31
pa_11165,ul_1115,ul. Szwedzka,32,54-401,Szwedzka 32
pa_34340,ul_1115,ul. Szwedzka,33,54-401,Szwedzka 33
pa_6586,ul_1115,ul. Szwedzka,34,54-401,Szwedzka 34
pa_23952,ul_1115,ul. Szwedzka,35,54-401,Szwedzka 35
pa_41868,ul_1115,ul. Szwedzka,36,54-401,Szwedzka 36
pa_14870,ul_1115,ul. Szwedzka,37,54-401,Szwedzka 37
pa_10376,ul_1115,ul. Szwedzka,38,54-401,Szwedzka 38
pa_46414,ul_1115,ul. Szwedzka,39,54-401,Szwedzka 39
pa_14093,ul_1115,ul. Szwedzka,3a,54-401,Szwedzka 3a
pa_53738,ul_1115,ul. Szwedzka,3b,54-401,Szwedzka 3b
pa_36312,ul_1115,ul. Szwedzka,3c,54-401,Szwedzka 3c
pa_14193,ul_1115,ul. Szwedzka,3d,54-401,Szwedzka 3d
pa_32706,ul_1115,ul. Szwedzka,4,54-401,Szwedzka 4
pa_29016,ul_1115,ul. Szwedzka,40,54-401,Szwedzka 40
pa_24762,ul_1115,ul. Szwedzka,41,54-401,Szwedzka 41
pa_41780,ul_1115,ul. Szwedzka,42,54-401,Szwedzka 42
pa_15077,ul_1115,ul. Szwedzka,43,54-401,Szwedzka 43
pa_8652,ul_1115,ul. Szwedzka,44,54-401,Szwedzka 44
pa_37206,ul_1115,ul. Szwedzka,45,54-401,Szwedzka 45
pa_51741,ul_1115,ul. Szwedzka,46,54-401,Szwedzka 46
pa_22494,ul_1115,ul. Szwedzka,47,54-401,Szwedzka 47
pa_56491,ul_1115,ul. Szwedzka,48,54-401,Szwedzka 48
pa_11843,ul_1115,ul. Szwedzka,49,54-401,Szwedzka 49
pa_40363,ul_1115,ul. Szwedzka,5,54-401,Szwedzka 5
pa_25537,ul_1115,ul. Szwedzka,50,54-401,Szwedzka 50
pa_47406,ul_1115,ul. Szwedzka,51,54-401,Szwedzka 51
pa_40986,ul_1115,ul. Szwedzka,53,54-401,Szwedzka 53
pa_49974,ul_1115,ul. Szwedzka,55,54-401,Szwedzka 55
pa_46270,ul_1115,ul. Szwedzka,5a,54-401,Szwedzka 5a
pa_20463,ul_1115,ul. Szwedzka,5b,54-401,Szwedzka 5b
pa_17276,ul_1115,ul. Szwedzka,6,54-401,Szwedzka 6
pa_13087,ul_1115,ul. Szwedzka,7,54-401,Szwedzka 7
pa_57694,ul_1115,ul. Szwedzka,7a,54-401,Szwedzka 7a
pa_13504,ul_1115,ul. Szwedzka,7b,54-401,Szwedzka 7b
pa_18756,ul_1115,ul. Szwedzka,7c,54-401,Szwedzka 7c
pa_35295,ul_1115,ul. Szwedzka,7d,54-401,Szwedzka 7d
pa_20170,ul_1115,ul. Szwedzka,8,54-401,Szwedzka 8
pa_25677,ul_1115,ul. Szwedzka,9,54-401,Szwedzka 9
pa_44078,ul_1115,ul. Szwedzka,9a,54-401,Szwedzka 9a
pa_45760,ul_1115,ul. Szwedzka,9b,54-401,Szwedzka 9b
pa_38203,ul_1116,ul. Szybka,1,50-421,Szybka 1
pa_16239,ul_1116,ul. Szybka,1a,50-421,Szybka 1a
pa_16234,ul_1116,ul. Szybka,1b,50-421,Szybka 1b
pa_16235,ul_1116,ul. Szybka,1c,50-421,Szybka 1c
pa_16236,ul_1116,ul. Szybka,1d,50-421,Szybka 1d
pa_16237,ul_1116,ul. Szybka,1e,50-421,Szybka 1e
pa_16238,ul_1116,ul. Szybka,1f,50-421,Szybka 1f
pa_38407,ul_1116,ul. Szybka,2-4,50-421,Szybka 2-4
pa_12919,ul_1116,ul. Szybka,3,50-421,Szybka 3
pa_23830,ul_1116,ul. Szybka,3a,50-421,Szybka 3a
pa_51248,ul_1116,ul. Szybka,3b,50-421,Szybka 3b
pa_6159,ul_1116,ul. Szybka,5,50-421,Szybka 5
pa_5812,ul_1116,ul. Szybka,6-10,50-421,Szybka 6-10
pa_34756,ul_1116,ul. Szybka,7,50-421,Szybka 7
pa_114054,ul_1116,ul. Szybka,9,50-421,Szybka 9
pa_7811,ul_1117,ul. Szybowcowa,1,54-130,Szybowcowa 1
pa_31787,ul_1117,ul. Szybowcowa,10,54-130,Szybowcowa 10
pa_32721,ul_1117,ul. Szybowcowa,12,54-130,Szybowcowa 12
pa_55196,ul_1117,ul. Szybowcowa,14,54-130,Szybowcowa 14
pa_31156,ul_1117,ul. Szybowcowa,15,54-130,Szybowcowa 15
pa_38264,ul_1117,ul. Szybowcowa,16,54-130,Szybowcowa 16
pa_48753,ul_1117,ul. Szybowcowa,17,54-130,Szybowcowa 17
pa_47575,ul_1117,ul. Szybowcowa,18,54-130,Szybowcowa 18
pa_23622,ul_1117,ul. Szybowcowa,19,54-130,Szybowcowa 19
pa_37804,ul_1117,ul. Szybowcowa,19a,54-130,Szybowcowa 19a
pa_72415,ul_1117,ul. Szybowcowa,2,54-140,Szybowcowa 2
pa_15640,ul_1117,ul. Szybowcowa,20,54-130,Szybowcowa 20
pa_35467,ul_1117,ul. Szybowcowa,21,54-130,Szybowcowa 21
pa_37484,ul_1117,ul. Szybowcowa,22,54-130,Szybowcowa 22
pa_18789,ul_1117,ul. Szybowcowa,23,54-130,Szybowcowa 23
pa_16856,ul_1117,ul. Szybowcowa,24,54-130,Szybowcowa 24
pa_42149,ul_1117,ul. Szybowcowa,25,54-130,Szybowcowa 25
pa_24007,ul_1117,ul. Szybowcowa,26,54-130,Szybowcowa 26
pa_37788,ul_1117,ul. Szybowcowa,27,54-130,Szybowcowa 27
pa_18853,ul_1117,ul. Szybowcowa,28,54-130,Szybowcowa 28
pa_4902,ul_1117,ul. Szybowcowa,3,54-130,Szybowcowa 3
pa_51427,ul_1117,ul. Szybowcowa,30,54-130,Szybowcowa 30
pa_4628,ul_1117,ul. Szybowcowa,31,54-130,Szybowcowa 31
pa_31908,ul_1117,ul. Szybowcowa,32,54-130,Szybowcowa 32
pa_57122,ul_1117,ul. Szybowcowa,34,54-130,Szybowcowa 34
pa_32041,ul_1117,ul. Szybowcowa,36,54-130,Szybowcowa 36
pa_16483,ul_1117,ul. Szybowcowa,38,54-130,Szybowcowa 38
pa_62189,ul_1117,ul. Szybowcowa,3b,54-130,Szybowcowa 3b
pa_24578,ul_1117,ul. Szybowcowa,4,54-130,Szybowcowa 4
pa_12772,ul_1117,ul. Szybowcowa,40,54-130,Szybowcowa 40
pa_50925,ul_1117,ul. Szybowcowa,42,54-130,Szybowcowa 42
pa_28307,ul_1117,ul. Szybowcowa,44,54-130,Szybowcowa 44
pa_36770,ul_1117,ul. Szybowcowa,46,54-130,Szybowcowa 46
pa_48411,ul_1117,ul. Szybowcowa,48,54-130,Szybowcowa 48
pa_5052,ul_1117,ul. Szybowcowa,5,54-130,Szybowcowa 5
pa_38213,ul_1117,ul. Szybowcowa,50,54-130,Szybowcowa 50
pa_10937,ul_1117,ul. Szybowcowa,52,54-130,Szybowcowa 52
pa_35537,ul_1117,ul. Szybowcowa,54,54-130,Szybowcowa 54
pa_9869,ul_1117,ul. Szybowcowa,56,54-130,Szybowcowa 56
pa_45075,ul_1117,ul. Szybowcowa,58,54-130,Szybowcowa 58
pa_65609,ul_1117,ul. Szybowcowa,5a,54-130,Szybowcowa 5a
pa_62630,ul_1117,ul. Szybowcowa,5c,54-130,Szybowcowa 5c
pa_58363,ul_1117,ul. Szybowcowa,60,54-130,Szybowcowa 60
pa_9665,ul_1117,ul. Szybowcowa,62,54-130,Szybowcowa 62
pa_34610,ul_1117,ul. Szybowcowa,64,54-130,Szybowcowa 64
pa_46853,ul_1117,ul. Szybowcowa,66,54-130,Szybowcowa 66
pa_13951,ul_1117,ul. Szybowcowa,68,54-130,Szybowcowa 68
pa_66936,ul_1117,ul. Szybowcowa,7,54-130,Szybowcowa 7
pa_44198,ul_1117,ul. Szybowcowa,70,54-130,Szybowcowa 70
pa_28338,ul_1117,ul. Szybowcowa,72,54-130,Szybowcowa 72
pa_7041,ul_1117,ul. Szybowcowa,74,54-130,Szybowcowa 74
pa_15893,ul_1117,ul. Szybowcowa,8,54-130,Szybowcowa 8
pa_57815,ul_1504,ul. Karola Szymanowskiego,1,51-609,Szymanowskiego 1
pa_53107,ul_1504,ul. Karola Szymanowskiego,10,51-609,Szymanowskiego 10
pa_14906,ul_1504,ul. Karola Szymanowskiego,11,51-609,Szymanowskiego 11
pa_44831,ul_1504,ul. Karola Szymanowskiego,12,51-609,Szymanowskiego 12
pa_23748,ul_1504,ul. Karola Szymanowskiego,13,51-609,Szymanowskiego 13
pa_40067,ul_1504,ul. Karola Szymanowskiego,15,51-609,Szymanowskiego 15
pa_7384,ul_1504,ul. Karola Szymanowskiego,16,51-609,Szymanowskiego 16
pa_25979,ul_1504,ul. Karola Szymanowskiego,17,51-609,Szymanowskiego 17
pa_8508,ul_1504,ul. Karola Szymanowskiego,18,51-609,Szymanowskiego 18
pa_34371,ul_1504,ul. Karola Szymanowskiego,2,51-609,Szymanowskiego 2
pa_43852,ul_1504,ul. Karola Szymanowskiego,20,51-609,Szymanowskiego 20
pa_48804,ul_1504,ul. Karola Szymanowskiego,22,51-609,Szymanowskiego 22
pa_20055,ul_1504,ul. Karola Szymanowskiego,23,51-609,Szymanowskiego 23
pa_27248,ul_1504,ul. Karola Szymanowskiego,24,51-609,Szymanowskiego 24
pa_46910,ul_1504,ul. Karola Szymanowskiego,25,51-609,Szymanowskiego 25
pa_22831,ul_1504,ul. Karola Szymanowskiego,26,51-609,Szymanowskiego 26
pa_54027,ul_1504,ul. Karola Szymanowskiego,27,51-609,Szymanowskiego 27
pa_10912,ul_1504,ul. Karola Szymanowskiego,27a,51-609,Szymanowskiego 27a
pa_19380,ul_1504,ul. Karola Szymanowskiego,28,51-609,Szymanowskiego 28
pa_35736,ul_1504,ul. Karola Szymanowskiego,29,51-609,Szymanowskiego 29
pa_29145,ul_1504,ul. Karola Szymanowskiego,2a,51-609,Szymanowskiego 2a
pa_44952,ul_1504,ul. Karola Szymanowskiego,2b,51-609,Szymanowskiego 2b
pa_95852,ul_1504,ul. Karola Szymanowskiego,2c,51-609,Szymanowskiego 2c
pa_29635,ul_1504,ul. Karola Szymanowskiego,3,51-609,Szymanowskiego 3
pa_15824,ul_1504,ul. Karola Szymanowskiego,30,51-609,Szymanowskiego 30
pa_33725,ul_1504,ul. Karola Szymanowskiego,31,51-609,Szymanowskiego 31
pa_28076,ul_1504,ul. Karola Szymanowskiego,32,51-609,Szymanowskiego 32
pa_19901,ul_1504,ul. Karola Szymanowskiego,33,51-609,Szymanowskiego 33
pa_14298,ul_1504,ul. Karola Szymanowskiego,34,51-609,Szymanowskiego 34
pa_39750,ul_1504,ul. Karola Szymanowskiego,35,51-609,Szymanowskiego 35
pa_38893,ul_1504,ul. Karola Szymanowskiego,36,51-609,Szymanowskiego 36
pa_28135,ul_1504,ul. Karola Szymanowskiego,37,51-609,Szymanowskiego 37
pa_55908,ul_1504,ul. Karola Szymanowskiego,37a,51-609,Szymanowskiego 37a
pa_38404,ul_1504,ul. Karola Szymanowskiego,37b,51-609,Szymanowskiego 37b
pa_10137,ul_1504,ul. Karola Szymanowskiego,38,51-609,Szymanowskiego 38
pa_7541,ul_1504,ul. Karola Szymanowskiego,39,51-609,Szymanowskiego 39
pa_56054,ul_1504,ul. Karola Szymanowskiego,3a,51-609,Szymanowskiego 3a
pa_40883,ul_1504,ul. Karola Szymanowskiego,4,51-609,Szymanowskiego 4
pa_32907,ul_1504,ul. Karola Szymanowskiego,40,51-609,Szymanowskiego 40
pa_58629,ul_1504,ul. Karola Szymanowskiego,41,51-609,Szymanowskiego 41
pa_12978,ul_1504,ul. Karola Szymanowskiego,42/44,51-609,Szymanowskiego 42/44
pa_57331,ul_1504,ul. Karola Szymanowskiego,43,51-609,Szymanowskiego 43
pa_21282,ul_1504,ul. Karola Szymanowskiego,43a,51-609,Szymanowskiego 43a
pa_29872,ul_1504,ul. Karola Szymanowskiego,46,51-609,Szymanowskiego 46
pa_19312,ul_1504,ul. Karola Szymanowskiego,48,51-609,Szymanowskiego 48
pa_56872,ul_1504,ul. Karola Szymanowskiego,5,51-609,Szymanowskiego 5
pa_28175,ul_1504,ul. Karola Szymanowskiego,50,51-609,Szymanowskiego 50
pa_48424,ul_1504,ul. Karola Szymanowskiego,52,51-609,Szymanowskiego 52
pa_47586,ul_1504,ul. Karola Szymanowskiego,54,51-609,Szymanowskiego 54
pa_35385,ul_1504,ul. Karola Szymanowskiego,56,51-609,Szymanowskiego 56
pa_39744,ul_1504,ul. Karola Szymanowskiego,58,51-609,Szymanowskiego 58
pa_18255,ul_1504,ul. Karola Szymanowskiego,6,51-609,Szymanowskiego 6
pa_36341,ul_1504,ul. Karola Szymanowskiego,7,51-609,Szymanowskiego 7
pa_52213,ul_1504,ul. Karola Szymanowskiego,8,51-609,Szymanowskiego 8
pa_21540,ul_1504,ul. Karola Szymanowskiego,9,51-609,Szymanowskiego 9
pa_108012,ul_4050,ul. Wisławy Szymborskiej,10,52-258,Szymborskiej 10
pa_108032,ul_4050,ul. Wisławy Szymborskiej,12,52-258,Szymborskiej 12
pa_108412,ul_4050,ul. Wisławy Szymborskiej,13,52-258,Szymborskiej 13
pa_108052,ul_4050,ul. Wisławy Szymborskiej,14,52-258,Szymborskiej 14
pa_108432,ul_4050,ul. Wisławy Szymborskiej,15,52-258,Szymborskiej 15
pa_108072,ul_4050,ul. Wisławy Szymborskiej,16,52-258,Szymborskiej 16
pa_108452,ul_4050,ul. Wisławy Szymborskiej,17,52-258,Szymborskiej 17
pa_108092,ul_4050,ul. Wisławy Szymborskiej,18,52-258,Szymborskiej 18
pa_108472,ul_4050,ul. Wisławy Szymborskiej,19,52-258,Szymborskiej 19
pa_107952,ul_4050,ul. Wisławy Szymborskiej,2,52-258,Szymborskiej 2
pa_108112,ul_4050,ul. Wisławy Szymborskiej,20,52-258,Szymborskiej 20
pa_108492,ul_4050,ul. Wisławy Szymborskiej,21,52-258,Szymborskiej 21
pa_108132,ul_4050,ul. Wisławy Szymborskiej,22,52-258,Szymborskiej 22
pa_108512,ul_4050,ul. Wisławy Szymborskiej,23,52-258,Szymborskiej 23
pa_108152,ul_4050,ul. Wisławy Szymborskiej,24,52-258,Szymborskiej 24
pa_108532,ul_4050,ul. Wisławy Szymborskiej,25,52-258,Szymborskiej 25
pa_108172,ul_4050,ul. Wisławy Szymborskiej,26,52-258,Szymborskiej 26
pa_108552,ul_4050,ul. Wisławy Szymborskiej,27,52-258,Szymborskiej 27
pa_108192,ul_4050,ul. Wisławy Szymborskiej,28,52-258,Szymborskiej 28
pa_108572,ul_4050,ul. Wisławy Szymborskiej,29,52-258,Szymborskiej 29
pa_108212,ul_4050,ul. Wisławy Szymborskiej,30,52-258,Szymborskiej 30
pa_108592,ul_4050,ul. Wisławy Szymborskiej,31,52-258,Szymborskiej 31
pa_108232,ul_4050,ul. Wisławy Szymborskiej,32,52-258,Szymborskiej 32
pa_108593,ul_4050,ul. Wisławy Szymborskiej,33,52-258,Szymborskiej 33
pa_108252,ul_4050,ul. Wisławy Szymborskiej,34,52-258,Szymborskiej 34
pa_108612,ul_4050,ul. Wisławy Szymborskiej,35,52-258,Szymborskiej 35
pa_108272,ul_4050,ul. Wisławy Szymborskiej,36,52-258,Szymborskiej 36
pa_108632,ul_4050,ul. Wisławy Szymborskiej,37,52-258,Szymborskiej 37
pa_108292,ul_4050,ul. Wisławy Szymborskiej,38,52-258,Szymborskiej 38
pa_108652,ul_4050,ul. Wisławy Szymborskiej,39,52-258,Szymborskiej 39
pa_107972,ul_4050,ul. Wisławy Szymborskiej,4,52-258,Szymborskiej 4
pa_108312,ul_4050,ul. Wisławy Szymborskiej,40,52-258,Szymborskiej 40
pa_108653,ul_4050,ul. Wisławy Szymborskiej,41,52-258,Szymborskiej 41
pa_108672,ul_4050,ul. Wisławy Szymborskiej,43,52-258,Szymborskiej 43
pa_107992,ul_4050,ul. Wisławy Szymborskiej,6,52-258,Szymborskiej 6
pa_107993,ul_4050,ul. Wisławy Szymborskiej,8,52-258,Szymborskiej 8
pa_70793,ul_2650,ul. Szynowa,10,52-131,Szynowa 10
pa_70794,ul_2650,ul. Szynowa,12,52-131,Szynowa 12
pa_70795,ul_2650,ul. Szynowa,14,52-131,Szynowa 14
pa_70796,ul_2650,ul. Szynowa,16,52-131,Szynowa 16
pa_70797,ul_2650,ul. Szynowa,18,52-131,Szynowa 18
pa_72186,ul_2650,ul. Szynowa,2,52-131,Szynowa 2
pa_70798,ul_2650,ul. Szynowa,20,52-131,Szynowa 20
pa_70799,ul_2650,ul. Szynowa,22,52-131,Szynowa 22
pa_70800,ul_2650,ul. Szynowa,24,52-131,Szynowa 24
pa_70801,ul_2650,ul. Szynowa,26,52-131,Szynowa 26
pa_70802,ul_2650,ul. Szynowa,28,52-131,Szynowa 28
pa_72793,ul_2650,ul. Szynowa,2a,52-131,Szynowa 2a
pa_70803,ul_2650,ul. Szynowa,30,52-131,Szynowa 30
pa_70804,ul_2650,ul. Szynowa,32,52-131,Szynowa 32
pa_70805,ul_2650,ul. Szynowa,34,52-131,Szynowa 34
pa_70790,ul_2650,ul. Szynowa,4,52-131,Szynowa 4
pa_70791,ul_2650,ul. Szynowa,6,52-131,Szynowa 6
pa_70792,ul_2650,ul. Szynowa,8,52-131,Szynowa 8
pa_54683,ul_1118,ul. Ścinawska,10,53-642,Ścinawska 10
pa_28500,ul_1118,ul. Ścinawska,1-19,53-642,Ścinawska 1-19
pa_17736,ul_1118,ul. Ścinawska,12,53-642,Ścinawska 12
pa_16481,ul_1118,ul. Ścinawska,14,53-642,Ścinawska 14
pa_35958,ul_1118,ul. Ścinawska,16,53-629,Ścinawska 16
pa_34376,ul_1118,ul. Ścinawska,18,53-629,Ścinawska 18
pa_25115,ul_1118,ul. Ścinawska,2,53-642,Ścinawska 2
pa_25111,ul_1118,ul. Ścinawska,20,53-629,Ścinawska 20
pa_35511,ul_1118,ul. Ścinawska,21,53-628,Ścinawska 21
pa_52465,ul_1118,ul. Ścinawska,22,53-629,Ścinawska 22
pa_23645,ul_1118,ul. Ścinawska,24,53-629,Ścinawska 24
pa_60816,ul_1118,ul. Ścinawska,25,53-628,Ścinawska 25
pa_53739,ul_1118,ul. Ścinawska,26,53-629,Ścinawska 26
pa_56423,ul_1118,ul. Ścinawska,28,53-629,Ścinawska 28
pa_54225,ul_1118,ul. Ścinawska,30,53-629,Ścinawska 30
pa_30136,ul_1118,ul. Ścinawska,32,53-629,Ścinawska 32
pa_39434,ul_1118,ul. Ścinawska,34,53-629,Ścinawska 34
pa_56321,ul_1118,ul. Ścinawska,4,53-642,Ścinawska 4
pa_19693,ul_1118,ul. Ścinawska,6,53-642,Ścinawska 6
pa_49431,ul_1118,ul. Ścinawska,8,53-642,Ścinawska 8
pa_14738,ul_1119,ul. Ślazowa,2,51-007,Ślazowa 2
pa_18574,ul_1505,ul. Anioła Ślązaka,1a,52-423,Ślązaka 1a
pa_7034,ul_1505,ul. Anioła Ślązaka,1b,52-423,Ślązaka 1b
pa_12330,ul_1505,ul. Anioła Ślązaka,2a,52-423,Ślązaka 2a
pa_54313,ul_1505,ul. Anioła Ślązaka,3,52-423,Ślązaka 3
